airport,category,number,percentage,year
DHN,nonhub,2080,0.00024639890371441607,2004
OAJ,nonhub,2336,0.00027672492263311347,2004
MEI,nonhub,1057,0.0001252132890510278,2004
GTR,nonhub,1433,0.00016975462933786455,2004
PFN,nonhub,4894,0.0005797481897972848,2004
LYH,nonhub,3474,0.0004115335536076353,2004
MCN,nonhub,1690,0.00020019910926796308,2004
EWN,nonhub,2815,0.00033346774709426986,2004
CKB,nonhub,1332,0.00015779006718634722,2004
TUP,nonhub,1106,0.00013101787860968472,2004
PIB,nonhub,725,8.588423326584214e-05,2004
JST,nonhub,1577,0.00018681301497963182,2004
SGU,nonhub,3139,0.0003718491147882462,2004
HVN,nonhub,1864,0.00022081132525176517,2004
ART,nonhub,1521,0.00018017919834116677,2004
STC,nonhub,1733,0.00020529293275821302,2004
PKB,nonhub,1611,0.0001908406893672713,2004
SBY,nonhub,3168,0.0003752844841188799,2004
IPT,nonhub,2393,0.0002834772002829797,2004
VCT,nonhub,989,0.0001171579402757488,2004
BJI,nonhub,1908,0.0002260236097534163,2004
OXR,nonhub,1713,0.00020292371253018978,2004
WFB,nonhub,7462,0.0008839560670754678,2004
JNU,nonhub,3843,0.00045524566681466393,2004
ADQ,nonhub,2875,0.00034057540777833955,2004
ALW,nonhub,1385,0.00016406850079060879,2004
ESC,nonhub,1225,0.00014511473896642294,2004
PRC,nonhub,912,0.00010803644239785936,2004
MGW,nonhub,1908,0.0002260236097534163,2004
MHK,nonhub,1862,0.00022902620566553269,2006
LMT,nonhub,1647,0.00020258118191790136,2006
EAT,nonhub,2063,0.00025374922786680664,2006
YKM,nonhub,2661,0.00032730329391835795,2006
EKO,nonhub,1956,0.00024058821604821802,2006
RDD,nonhub,3917,0.00048179143264870654,2006
LWS,nonhub,3386,0.00041647837399757983,2006
CLM,nonhub,2953,0.0003632193261709549,2006
ACV,nonhub,4604,0.0005662925085306727,2006
PUW,nonhub,1656,0.00020368818291198825,2006
BFI,nonhub,4620,0.0005682605102979382,2006
GGG,nonhub,1102,0.0001355461217204173,2006
GTF,nonhub,6246,0.0007682586898963036,2006
BIL,nonhub,6744,0.0008295127449024449,2006
CPR,nonhub,3675,0.0004520254059188145,2006
RDM,nonhub,8208,0.001009584906607246,2006
CIC,nonhub,1687,0.00020750118633606533,2006
FSM,nonhub,2871,0.00035313331711371874,2006
DLH,nonhub,2918,0.00035891432230506144,2006
CEC,nonhub,1269,0.00015608714016625188,2006
DRO,nonhub,2041,0.00025104322543681646,2006
DBQ,nonhub,1354,0.0001665421495548503,2006
HLN,nonhub,3908,0.00048068443165461965,2006
ACT,nonhub,3697,0.0004547314083488047,2006
BTM,nonhub,1486,0.0001827781641347914,2006
PIA,nonhub,6559,0.0008067577244684366,2006
CWA,nonhub,6346,0.0007805587009417134,2006
FOE,nonhub,134,1.648201480084929e-05,2006
GJT,nonhub,2538,0.00031217428033250376,2006
SPS,nonhub,2384,0.00029323226332257245,2006
ABR,nonhub,2217,0.0002726912448767379,2006
BRD,nonhub,1462,0.00017982616148389303,2006
BIS,nonhub,2621,0.000322383289500194,2006
MSO,nonhub,5939,0.0007304976559868951,2006
LNK,nonhub,3595,0.00044218539708248657,2006
ALO,nonhub,1362,0.0001675261504384831,2006
RFD,nonhub,5691,0.0006999936285942785,2006
LSE,nonhub,3166,0.00038941834969767803,2006
FCA,nonhub,4437,0.0005457514900848381,2006
BLI,nonhub,4332,0.0005328364784871576,2006
EAU,nonhub,1287,0.00015830114215442564,2006
MCW,nonhub,1794,0.00022066219815465395,2006
RAP,nonhub,3362,0.0004135263713466815,2006
GFK,nonhub,4151,0.0005105734584949657,2006
BFL,nonhub,5652,0.0006951966242865687,2006
SUX,nonhub,1749,0.00021512719318421948,2006
IDA,nonhub,3489,0.00042914738537435206,2006
SPI,nonhub,2664,0.00032767229424972023,2006
DEC,nonhub,1276,0.00015694814093943055,2006
BZN,nonhub,5083,0.0006252095614381861,2006
MLU,nonhub,4401,0.0005413234861084905,2006
YUM,nonhub,4298,0.0005286544747317183,2006
MOT,nonhub,1441,0.00017724315916435693,2006
FAR,nonhub,4827,0.0005937215331619368,2006
RST,nonhub,5748,0.0007070046348901622,2006
EVV,nonhub,7549,0.0009285278338179947,2006
MOD,nonhub,2230,0.0002742902463126412,2006
CMI,nonhub,3999,0.0004918774417059427,2006
SCK,nonhub,248,3.05040273926166e-05,2006
BMI,nonhub,6372,0.00078375670381352,2006
TWF,nonhub,2444,0.00030061226994981843,2006
LRD,nonhub,4236,0.0005210284678835641,2006
MTJ,nonhub,574,7.060206340065293e-05,2006
CLL,nonhub,3898,0.00047945443055007864,2006
ABI,nonhub,4406,0.000541938486660761,2006
JAC,nonhub,2929,0.0003602673235200565,2006
FWA,nonhub,13708,0.0016860855141047917,2006
AZO,nonhub,6600,0.0008118007289970547,2006
BPT,nonhub,1743,0.0002143891925214949,2006
PIH,nonhub,2148,0.0002642042372554051,2006
LAW,nonhub,2121,0.0002608832342731444,2006
TOL,nonhub,10568,0.0012998651672789202,2006
BRO,nonhub,2291,0.0002817932530503412,2006
SJT,nonhub,3132,0.0003852363459422387,2006
GRK,nonhub,6358,0.0007820347022671626,2006
VGT,nonhub,2257,0.00027761124929490187,2006
ORH,nonhub,152,1.8696016789023075e-05,2006
ITH,nonhub,4029,0.0004955674450195656,2006
ELM,nonhub,4689,0.0005767475179192711,2006
BGR,nonhub,6724,0.000827052742693363,2006
YNG,nonhub,164,2.0172018114472266e-05,2006
BGM,nonhub,4540,0.0005584205014616103,2006
AVP,nonhub,8423,0.0010360299303548775,2006
CHA,nonhub,9052,0.001113396999830506,2006
SCE,nonhub,5973,0.0007346796597423345,2006
CHO,nonhub,8378,0.001030494925384443,2006
FLO,nonhub,2335,0.0002872052579103216,2006
ISO,nonhub,768,9.446408482874817e-05,2006
ERI,nonhub,6464,0.0007950727139752971,2006
SFB,nonhub,2166,0.0002664182392435788,2006
PGV,nonhub,1846,0.0002270582038982671,2006
MBS,nonhub,3793,0.00046653941895239825,2006
MGM,nonhub,5262,0.00064722658120947,2006
TVC,nonhub,5569,0.0006849876151188783,2006
DRT,nonhub,1104,0.0001357921219413255,2006
AEX,nonhub,4349,0.0005349274803648774,2006
JLN,nonhub,924,0.00011365210205958764,2006
LFT,nonhub,7130,0.0008769907875377272,2006
KTN,nonhub,3504,0.00043099238703116357,2006
LCH,nonhub,2046,0.00025165822598908696,2006
COU,nonhub,1568,0.00019286417319202753,2006
TYR,nonhub,3444,0.0004236123804039176,2006
FLG,nonhub,2147,0.00026408123714495097,2006
CSG,nonhub,1591,0.0001956931757324718,2006
