id,airport,type,latitude,longitude,crs_dep_time,dep_time,cancelled,diverted
99,PHL,origin,39.87195278,-75.24114083,2150,,1,0
99,RDU,dest,35.87763889,-78.78747222,2150,,1,0
100,LGA,origin,40.77724306,-73.87260917,640,639,0,0
100,ROC,dest,43.11886611,-77.67238389,640,639,0,0
101,JAX,origin,30.49405556,-81.68786111,700,659,0,0
101,PHL,dest,39.87195278,-75.24114083,700,659,0,0
102,CLT,origin,35.21401111,-80.94312583,935,,1,0
102,ORD,dest,41.979595,-87.90446417,835,,1,0
103,DCA,origin,38.85208333,-77.03772222,1440,,1,0
103,MCI,dest,39.29760528,-94.71390556,1340,,1,0
104,RDU,origin,35.87763889,-78.78747222,1244,,1,0
104,DCA,dest,38.85208333,-77.03772222,1244,,1,0
105,DCA,origin,38.85208333,-77.03772222,1500,,1,0
105,BUF,dest,42.94052472,-78.73216667,1500,,1,0
106,PBI,origin,26.68316194,-80.09559417,1144,,1,0
106,DCA,dest,38.85208333,-77.03772222,1144,,1,0
107,CMH,origin,39.99798528,-82.89188278,1519,,1,0
107,PHL,dest,39.87195278,-75.24114083,1519,,1,0
108,CLT,origin,35.21401111,-80.94312583,1655,,1,0
108,ORD,dest,41.979595,-87.90446417,1555,,1,0
109,PBI,origin,26.68316194,-80.09559417,1035,,1,0
109,PHL,dest,39.87195278,-75.24114083,1035,,1,0
110,CLT,origin,35.21401111,-80.94312583,1905,,1,0
110,CLE,dest,41.41089417,-81.84939667,1905,,1,0
111,CLT,origin,35.21401111,-80.94312583,1105,,1,0
111,CHS,dest,32.89864639,-80.04050583,1105,,1,0
112,LGA,origin,40.77724306,-73.87260917,819,818,0,0
112,CLT,dest,35.21401111,-80.94312583,819,818,0,0
113,MDT,origin,40.19349528,-76.76340361,1550,,1,0
113,PIT,dest,40.49146583,-80.23287083,1550,,1,0
114,CLT,origin,35.21401111,-80.94312583,1850,,1,0
114,DCA,dest,38.85208333,-77.03772222,1850,,1,0
115,PIT,origin,40.49146583,-80.23287083,2110,,1,0
115,FLL,dest,26.07258333,-80.15275,2110,,1,0
116,LGA,origin,40.77724306,-73.87260917,655,651,0,0
116,RDU,dest,35.87763889,-78.78747222,655,651,0,0
117,CLT,origin,35.21401111,-80.94312583,1100,,1,0
117,MIA,dest,25.79325,-80.29055556,1100,,1,0
118,LGA,origin,40.77724306,-73.87260917,815,812,0,0
118,CLT,dest,35.21401111,-80.94312583,815,812,0,0
119,PIT,origin,40.49146583,-80.23287083,745,742,0,0
