id,airport,latitude,longitude,crs_dep_time,dep_time,cancelled,diverted
97,"CLT",35.21401111,-80.94312583,"0800","0756",0.00,0.00
97,"BWI",39.17540167,-76.66819833,"0800","0756",0.00,0.00
98,"SAV",32.12758333,-81.20213889,"0610","0604",0.00,0.00
98,"CLT",35.21401111,-80.94312583,"0610","0604",0.00,0.00
99,"CLT",35.21401111,-80.94312583,"1220","",1.00,0.00
99,"IND",39.71732917,-86.29438417,"1220","",1.00,0.00
100,"PIT",40.49146583,-80.23287083,"2215","",1.00,0.00
100,"HPN",41.06695778,-73.70757444,"2215","",1.00,0.00
101,"CLT",35.21401111,-80.94312583,"1650","",1.00,0.00
101,"LGA",40.77724306,-73.87260917,"1650","",1.00,0.00
102,"BNA",36.12447667,-86.67818222,"0910","",1.00,0.00
102,"CLT",35.21401111,-80.94312583,"0910","",1.00,0.00
103,"CLT",35.21401111,-80.94312583,"1205","",1.00,0.00
103,"PIT",40.49146583,-80.23287083,"1205","",1.00,0.00
104,"EWR",40.69249722,-74.16866056,"1557","",1.00,0.00
104,"PIT",40.49146583,-80.23287083,"1557","",1.00,0.00
105,"DCA",38.85208333,-77.03772222,"1005","",1.00,0.00
105,"ALB",42.74811944,-73.80297861,"1005","",1.00,0.00
106,"PBI",26.68316194,-80.09559417,"0700","0653",0.00,0.00
106,"DCA",38.85208333,-77.03772222,"0700","0653",0.00,0.00
107,"LGA",40.77724306,-73.87260917,"1745","",1.00,0.00
107,"CLT",35.21401111,-80.94312583,"1745","",1.00,0.00
108,"DTW",42.21205889,-83.34883583,"1925","",1.00,0.00
108,"PHL",39.87195278,-75.24114083,"1925","",1.00,0.00
109,"PHL",39.87195278,-75.24114083,"2150","",1.00,0.00
109,"RDU",35.87763889,-78.78747222,"2150","",1.00,0.00
110,"LGA",40.77724306,-73.87260917,"0640","0639",0.00,0.00
110,"ROC",43.11886611,-77.67238389,"0640","0639",0.00,0.00
111,"JAX",30.49405556,-81.68786111,"0700","0659",0.00,0.00
111,"PHL",39.87195278,-75.24114083,"0700","0659",0.00,0.00
112,"CLT",35.21401111,-80.94312583,"0935","",1.00,0.00
112,"ORD",41.979595,-87.90446417,"0935","",1.00,0.00
113,"SRQ",27.39533333,-82.55411111,"0705","0655",0.00,0.00
113,"CLT",35.21401111,-80.94312583,"0705","0655",0.00,0.00
114,"DCA",38.85208333,-77.03772222,"1440","",1.00,0.00
114,"MCI",39.29760528,-94.71390556,"1440","",1.00,0.00
115,"RDU",35.87763889,-78.78747222,"1245","",1.00,0.00
